ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
351,Julius Shareef Abdur-Rahim,M,23.0,202.0,104.0,United States,USA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Gold
2636,"Stephen Todd ""Steve"" Alford",M,19.0,185.0,74.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Men's Basketball,Gold
2863,Walter Ray Allen,M,25.0,192.0,93.0,United States,USA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Gold
3874,"William Lloyd ""Willie"" Anderson, Jr.",M,21.0,200.0,86.0,United States,USA,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball,Bronze
4505,Carmelo Kyan Anthony,M,20.0,203.0,109.0,United States,USA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Men's Basketball,Bronze
4505,Carmelo Kyan Anthony,M,24.0,203.0,109.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
4505,Carmelo Kyan Anthony,M,28.0,203.0,109.0,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Gold
4505,Carmelo Kyan Anthony,M,32.0,203.0,109.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
5173,"Michel Taylor ""Tate"" Armstrong",M,20.0,190.0,77.0,United States,USA,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Men's Basketball,Gold
5212,Jay Joseph Hoyland Arnette,M,21.0,188.0,79.0,United States,USA,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Gold
5949,Stacey Orlando Augmon,M,20.0,200.0,87.0,United States,USA,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball,Bronze
7040,"Vincent Lamont ""Vin"" Baker",M,28.0,207.0,109.0,United States,USA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Gold
7396,"Samuel J. ""Sam"" Balter, Jr.",M,26.0,178.0,68.0,United States,USA,1936 Summer,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,Gold
7586,"Michael Allen ""Mike"" Bantom",M,20.0,203.0,93.0,United States,USA,1972 Summer,1972,Summer,Munich,Basketball,Basketball Men's Basketball,Silver
7881,"Clifford Eugene ""Cliff"" Barker",M,27.0,188.0,84.0,United States,USA,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,Gold
7901,Charles Wade Barkley,M,29.0,198.0,114.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,Gold
7901,Charles Wade Barkley,M,33.0,198.0,114.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball,Gold
7908,"Donald Argee ""Don"" Barksdale",M,25.0,198.0,91.0,United States,USA,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,Gold
7956,Harrison Bryce Jordan Barnes,M,24.0,203.0,102.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
7958,"Velvet James ""Jim"" Barnes",M,23.0,201.0,109.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Gold
8104,"Michael Thomas ""Mike"" Barrett",M,25.0,188.0,73.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,Gold
9039,"Ralph Milton Beard, Jr.",M,20.0,178.0,79.0,United States,USA,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,Gold
9178,"Lewis William ""Lew"" Beck, Jr.",M,26.0,183.0,75.0,United States,USA,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,Gold
9670,"Walter Jones ""Walt"" Bellamy, Jr.",M,23.0,211.0,98.0,United States,USA,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Gold
11668,Larry Joe Bird,M,35.0,205.0,100.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,Gold
11790,Ralph English Bishop,M,20.0,193.0,86.0,United States,USA,1936 Summer,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,Gold
13302,"Ronald Yngve ""Ron"" Bontemps",M,25.0,188.0,79.0,United States,USA,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,Gold
13371,"Robert Lewis ""Bob"" Boozer",M,23.0,203.0,99.0,United States,USA,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Gold
13372,"Carlos Austin Boozer, Jr.",M,22.0,206.0,117.0,United States,USA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Men's Basketball,Bronze
13372,"Carlos Austin Boozer, Jr.",M,26.0,206.0,117.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
13682,"Vincent Joseph ""Vince"" Boryla",M,21.0,195.0,95.0,United States,USA,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,Gold
13739,"Christopher Wesson ""Chris"" Bosh",M,24.0,208.0,104.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
14153,"Richard James ""Dick"" Boushka",M,22.0,195.0,95.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold
14504,"William Warren ""Bill"" Bradley",M,21.0,196.0,93.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Gold
15009,"James Turner ""Jim"" Brewer",M,20.0,206.0,100.0,United States,USA,1972 Summer,1972,Summer,Munich,Basketball,Basketball Men's Basketball,Silver
15555,"Lawrence Harvey ""Larry"" Brown",M,24.0,178.0,73.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Gold
15891,Kobe Bean Bryant,M,29.0,198.0,100.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
15891,Kobe Bean Bryant,M,33.0,198.0,100.0,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Gold
16109,William Quinn Buckner,M,21.0,190.0,92.0,United States,USA,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Men's Basketball,Gold
16639,Tommy Loren Burleson,M,20.0,223.0,102.0,United States,USA,1972 Summer,1972,Summer,Munich,Basketball,Basketball Men's Basketball,Silver
16923,Jimmy Butler III,M,26.0,201.0,99.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
17312,Carl Cecil Cain,M,22.0,190.0,86.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold
17417,"Joseph Louis ""Joe"" Caldwell",M,22.0,196.0,89.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Gold
18450,Gordon C. Carpenter,M,28.0,200.0,100.0,United States,USA,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,Gold
18483,"Kenneth Alan ""Kenny"" Carr",M,20.0,200.0,102.0,United States,USA,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Men's Basketball,Gold
18662,"Vincent Lamar ""Vince"" Carter",M,23.0,195.0,102.0,United States,USA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Gold
19736,Tyson Cleotis Chandler,M,29.0,216.0,107.0,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Gold
21943,John Richard Clawson,M,24.0,193.0,91.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,Gold
22361,"Vernell Eufaye ""Bimbo"" Coles",M,20.0,185.0,79.0,United States,USA,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball,Bronze
22460,"Paul Douglas ""Doug"" Collins",M,21.0,198.0,82.0,United States,USA,1972 Summer,1972,Summer,Munich,Basketball,Basketball Men's Basketball,Silver
23453,"Melvin Grant ""Mel"" Counts",M,22.0,213.0,102.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Gold
23497,DeMarcus Amir Cousins,M,25.0,210.0,122.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
25309,Adrian Delano Dantley,M,21.0,195.0,95.0,United States,USA,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Men's Basketball,Gold
25378,"Charles Frick ""Chuck"" Darling",M,26.0,203.0,102.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold
25616,"Richard Allen ""Dick"" Davies",M,28.0,186.0,80.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Gold
25667,"Anthony Marshon Davis, Jr.",M,19.0,208.0,100.0,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Gold
25705,"Kenneth Bryan ""Kenny"" Davis",M,23.0,180.0,82.0,United States,USA,1972 Summer,1972,Summer,Munich,Basketball,Basketball Men's Basketball,Silver
25728,Walter Paul Davis,M,21.0,195.0,86.0,United States,USA,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Men's Basketball,Gold
26966,"Donald Francis ""Don"" Dee",M,25.0,201.0,93.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,Gold
27743,DeMar Darnell DeRozan,M,26.0,201.0,99.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
28747,"Terence Gilbert ""Terry"" Dischinger",M,19.0,198.0,86.0,United States,USA,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Gold
30009,Clyde Austin Drexler,M,30.0,200.0,101.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,Gold
30632,"Timothy Theodore ""Tim"" Duncan",M,28.0,213.0,104.0,United States,USA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Men's Basketball,Bronze
30807,Kevin Wayne Durant,M,23.0,206.0,105.0,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Gold
30807,Kevin Wayne Durant,M,27.0,206.0,105.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
33430,"William Best ""Billy"" Evans",M,24.0,185.0,84.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold
33553,Patrick Aloysius Ewing,M,21.0,213.0,109.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Men's Basketball,Gold
33553,Patrick Aloysius Ewing,M,29.0,213.0,109.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,Gold
35789,"Vernon ""Vern"" Fleming",M,22.0,195.0,84.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Men's Basketball,Gold
36207,"James Ricardo ""Jim"" Forbes",M,20.0,203.0,91.0,United States,USA,1972 Summer,1972,Summer,Munich,Basketball,Basketball Men's Basketball,Silver
36233,"Gilbert ""Gib"" Ford",M,25.0,193.0,91.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold
36237,"Philip Jackson ""Phil"" Ford, Jr.",M,20.0,188.0,77.0,United States,USA,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Men's Basketball,Gold
36368,"Joseph Cephis ""Joe"" Fortenberry",M,25.0,203.0,84.0,United States,USA,1936 Summer,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,Gold
36551,"Calvin Bernard ""Cal"" Fowler",M,28.0,186.0,77.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,Gold
37019,"Marcus Ross ""Marc"" Freiberger",M,23.0,211.0,98.0,United States,USA,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,Gold
38826,Kevin Maurice Garnett,M,24.0,207.0,100.0,United States,USA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Gold
39561,Paul George,M,26.0,206.0,99.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
40143,"John Haskell ""Tex"" Gibbons",M,28.0,185.0,79.0,United States,USA,1936 Summer,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,Gold
40703,Victor Wayne Glasgow,M,26.0,190.0,86.0,United States,USA,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,Gold
42553,"Jeffrey ""Jeff"" Grayer",M,22.0,195.0,91.0,United States,USA,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball,Bronze
42622,Draymond Jamal Green,M,26.0,200.0,104.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
43246,"Alexander John ""Alex"" Groza",M,21.0,200.0,100.0,United States,USA,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,Gold
43340,"Ernest ""Ernie"" Grunfeld",M,21.0,198.0,102.0,United States,USA,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Men's Basketball,Gold
44951,"Burdette Eliele ""Burdie"" Haldorson",M,22.0,206.0,102.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold
44951,"Burdette Eliele ""Burdie"" Haldorson",M,26.0,206.0,102.0,United States,USA,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Gold
45963,"Anfernee Deon ""Penny"" Hardaway",M,24.0,200.0,91.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball,Gold
45964,"Timothy Duane ""Tim"" Hardaway",M,34.0,180.0,88.0,United States,USA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Gold
45970,"James Edward Harden, Jr.",M,22.0,196.0,100.0,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Gold
46770,"Hersey R. Hawkins, Jr.",M,22.0,190.0,86.0,United States,USA,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball,Bronze
46886,Spencer Haywood,M,19.0,203.0,102.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,Gold
46916,"Walter Raphael ""Walt"" Hazzard",M,22.0,191.0,91.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Gold
47588,"Thomas Edward ""Tom"" Henderson",M,20.0,188.0,86.0,United States,USA,1972 Summer,1972,Summer,Munich,Basketball,Basketball Men's Basketball,Silver
48571,Grant Henry Hill,M,23.0,203.0,102.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball,Gold
48958,"Charles Monroe ""Charlie"" Hoag",M,20.0,188.0,84.0,United States,USA,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,Gold
50132,"Wilmer Frederick ""Bill"" Hosket",M,21.0,203.0,102.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,Gold
50231,"William Marion ""Bill"" Hougland",M,22.0,195.0,86.0,United States,USA,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,Gold
50231,"William Marion ""Bill"" Hougland",M,26.0,195.0,86.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold
50268,Allan Wade Houston,M,29.0,195.0,91.0,United States,USA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Gold
50311,Dwight David Howard,M,22.0,211.0,120.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
50688,"Phillip Gregory ""Phil"" Hubbard",M,19.0,200.0,88.0,United States,USA,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Men's Basketball,Gold
51724,Andre Tyler Iguodala,M,28.0,198.0,94.0,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Gold
52026,Darrall Tucker Imhoff,M,21.0,211.0,98.0,United States,USA,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Gold
52383,Kyrie Andrew Irving,M,24.0,190.0,87.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
52912,Allen Ezail Iverson,M,29.0,182.0,83.0,United States,USA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Men's Basketball,Bronze
53134,"Lucious Brown ""Luke"" Jackson, Jr.",M,22.0,206.0,107.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Gold
53494,LeBron Raymone James,M,19.0,203.0,114.0,United States,USA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Men's Basketball,Bronze
53494,LeBron Raymone James,M,23.0,203.0,114.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
53494,LeBron Raymone James,M,27.0,203.0,114.0,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Gold
54117,"Robert Eugene ""Bob"" Jeangerard",M,24.0,190.0,86.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold
54163,Richard Allen Jefferson,M,24.0,203.0,102.0,United States,USA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Men's Basketball,Bronze
